FDID, Fire dept name, HQ addr1, HQ addr2, HQ city, HQ state, HQ zip, Mail addr1, Mail addr2, Mail PO box, Mail city, Mail state, Mail zip, HQ phone, HQ fax, County, Dept Type, Organization Type, Website, Number Of Stations, Active Firefighters - Career, Active Firefighters - Volunteer, Active Firefighters - Paid per Call, Non-Firefighting - Civilian, Non-Firefighting - Volunteer, Primary agency for emergency mgmt
"06004","Cornelius-Lemley Fire Rescue","19729 S Main ST","","Cornelius","NC","28031","","","PO Box 311","Cornelius","NC","28031-0311","704-892-1544","704-892-3370","Mecklenburg","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://corneliusfd.org/","2","0","0","64","0","0","Yes"
"03916","Cornwall Volunteer Fire Department","8114 Cornwall RD","8067 HWY 96","Oxford","NC","27565","8114 Cornwall RD","8067 HWY 96","","Oxford","NC","27565","919-693-1972","","Granville","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","26","0","0","0",""
"02704","Corolla Fire and Rescue Squad, Inc.","827 Whalehead DR","","Corolla","NC","27927","827 Whalehead DR","","PO Box 52","Corolla","NC","27927","252-453-3242","252-453-3082","Currituck","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","5","25","0","0","2",""
"02603","Cotton Volunteer Fire Department","4618 Calico ST","","Hope Mills","NC","28348","","","PO Box 129","Hope Mills","NC","28348-0129","910-425-9385","910-425-2105","Cumberland","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","cottonfiredepartment.com","1","10","0","38","0","0","No"
"05808","Country Volunteer Fire Department","486 Church RD","","Hot Springs","NC","28743","486 Church RD","","","Hot Springs","NC","28743-7774","828-622-9775","828-622-9775","Madison","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","27","0","0","0","No"
"03018","County Line Volunteer Fire Department","1819 Ridge RD","","Mocksville","NC","27028","1819 Ridge RD","","","Mocksville","NC","27028-8352","336-492-7236","336-492-7236","Davie","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","www.countylinefire.com","1","0","26","0","0","2","No"
"09919","Courtney Volunteer Fire Department Inc.","2604 Courtney Huntsville RD","","Yadkinville","NC","27055","2604 Courtney Huntsville RD","","","Yadkinville","NC","27055-6618","336-463-5551","336-463-4856","Yadkin","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.courtneyfire.com/","1","2","40","0","0","10","No"
"02503","Cove City Fire & Rescue","425 S Main ST","PO Box 257","Cove City","NC","28523","425 S Main ST","PO Box 257","PO Box ","Cove City","NC","28523","252-638-4712","252-638-4712","Craven","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","35","0","0","5",""
"09504","Cove Creek Volunteer Fire Department, Inc.","193 Smith ST","","Vilas","NC","28692","","","PO Box 251","Sugar Grove","NC","28679-0251","828-297-1375","828-297-5452","Watauga","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","covecreekfire.com","1","0","30","0","0","8","No"
"05705","Cowee Volunteer Fire/Rescue, Inc.","208 Mason Branch RD","","Franklin","NC","28734","208 Mason Branch RD","","","Franklin","NC","28734-8616","828-369-7611","828-369-7611","Macon","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","35","0","0","0",""
"06323","Crains Creek Volunteer Fire Department, Inc.","4525 Lobelia RD","","Vass","NC","28394","","","PO Box 999","Vass","NC","28394-0999","910-245-4331","","Moore","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","1","21","5","0","7","No"
"03617","Cramerton Fire Department","141 8TH AVE","","Cramerton","NC","28032","141 8TH AVE","","","Cramerton","NC","28032-1401","704-879-4231","","Gaston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","0","27","0","0","No"
"03905","Creedmoor Volunteer Fire Department","Elm and Lyon","PO Box 616","Creedmoor","NC","27522","","","PO Box 810","Creedmoor","NC","27522","919-528-4400","919-528-4400","Granville","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://creedmoorfd.com/","1","0","33","0","0","20",""
"06372","Crestline Volunteer Fire Department","10861 NC 211 HWY","","Aberdeen","NC","28315","","","PO Box 691","Aberdeen","NC","28315-0691","910-944-7032","","Moore","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","23","0","0","0","No"
"00501","Creston Fire Department","PO Box 9","","Creston","NC","28615-0009","","","PO Box 9","Creston","NC","28615-0009","000-000-0000","","Ashe","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","15","0","0","0",""
"09401","Creswell Volunteer Fire Department, Inc","109 W Main ST","","Creswell","NC","27928","","","PO Box 220","Creswell","NC","27928-0220","252-797-4461","252-797-4461","Washington","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","25","0","0","0","No"
"00602","Crossnore Volunteer Fire Department","125 E Crossnore DR","","Crossnore","NC","28616","","","PO Box 507","Crossnore","NC","28616-0507","828-733-4304","828-733-0017","Avery","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","35","0","0","15","No"
"09815","Crossroads Volunteer Fire Department, Inc.","102 Groves ST","","Lucama","NC","27851","","","PO Box 626","Lucama","NC","27851-0626","252-239-0467","252-239-0490","Wilson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","29","4","0","0","No"
"05502","Crouse Volunteer Fire Department, Inc.","2764 W HWY 150","PO Box 220","Crouse","NC","28033","2764 W HWY 150","","PO Box 220","Crouse","NC","28033","704-735-2247","704-735-2247","Lincoln","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","34","0","0","0",""
"03629","Crowders Mountain Volunteer Fire/Rescue","480 Bethany RD","","Gastonia","NC","28052","480 Bethany RD","","","Gastonia","NC","28052-8500","704-867-4451","704-867-4452","Gaston","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","cmvfr.org","3","7","19","16","0","0","No"
"04412","Cruso Volunteer Fire Department","13264 Cruso RD","","Canton","NC","28716-5460","13264 Cruso RD","","","Canton","NC","28716-5460","828-235-8247","828-235-8240","Haywood","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","32","0","0","0",""
"05706","Cullasaja Gorge Fire & Rescue","104 River RD","","Franklin","NC","28734","104 River RD","","","Franklin","NC","28734","828-369-5010","","Macon","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","32","0","0","0",""
"05003","Cullowhee Volunteer Fire Department","4277 Little Savannah RD","PO Box 2470","Cullowhee","NC","28723-2470","","","PO Box 2470","Cullowhee","NC","28723-2470","828-293-5867","828-293-7104","Jackson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","3","0","44","0","0","1",""
"02604","Cumberland Road Volunteer Fire Department","3543 Cumberland RD","","Fayetteville","NC","28306","3543 Cumberland RD","","","Fayetteville","NC","28306-2433","910-425-3119","910-425-3103","Cumberland","Mostly volunteer","Contract fire department","https://www.cumberlandroadfire.com/","1","4","60","0","0","0","No"
"02708","Currituck County Department of Fire-Emergency Medical Services","125 College Way","","Barco","NC","27917","153 Courthouse RD STE 303","","","Currituck","NC","27929-9734","252-232-7746","252-453-2671","Currituck","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://currituckcountync.gov/ems/","1","133","11","0","2","0","No"
"06321","Cypress Pointe Fire/Rescue","131 S Alma ST","","Vass","NC","28394","","","PO Box 129","Vass","NC","28394-0129","910-245-7974","910-245-3723","Moore","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.cypresspointefd.com/","3","33","44","0","0","0","No"
"04503","Dana Fire & Rescue, Inc.","2001 Dana RD","","Hendersonville","NC","28792","2001 Dana RD","","","Hendersonville","NC","28792-3167","828-685-3494","828-685-3497","Henderson","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.danafd.com/","1","4","32","0","0","4","Yes"
"04201","Darlington Volunteer Fire Department","2611 Hedgepeth RD","","Halifax","NC","27839","2611 Hedgepeth RD","","","Halifax","NC","27839","252-583-3161","252-583-9291","Halifax","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","21","0","0","0",""
"06005","Davidson Fire Department","216 S Main ST","","Davidson","NC","28036","","","PO Box 579","Davidson","NC","28036-0579","704-940-9624","","Mecklenburg","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.townofdavidson.org/63/Fire-Department","2","12","0","55","0","0","No"
"04202","Davie Community Volunteer Fire Department","3155 US Highway 158","","Roanoke Rapids","NC","27870","3155 US Highway 158","","","Roanoke Rapids","NC","27870-9377","252-537-4816","252-537-1737","Halifax","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","35","0","0","0",""
"03013","Davie-Center Volunteer Fire Department, Inc.","2265 US Highway 64 W","","Mocksville","NC","27028","","","PO Box 1313","Mocksville","NC","27028-1313","336-492-7649","","Davie","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","26","0","0","5",""
"01652","Davis Volunteer Fire Department, Inc.","595 Highway 70","","Davis","NC","28524","","","PO Box 29","Davis","NC","28524-0029","252-729-8311","252-729-1904","Carteret","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","22","0","0","0","Yes"
"07804","Deep Branch Volunteer Fire Department","3129 Deep Branch RD","","Lumberton","NC","28360","507 Pine Log RD","","","Lumberton","NC","28360","910-739-2221","910-739-3909","Robeson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","33","0","0","0",""
"09505","Deep Gap Volunteer Fire Department","6583 Old Highway 421 S","","Deep Gap","NC","28618","","","PO Box 516","Deep Gap","NC","28618-0516","828-262-0635","828-262-0623","Watauga","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","31","0","0","0","No"
"05302","Deep River Fire Department","5107 Deep River RD","","Sanford","NC","27330-6577","5107 Deep River RD","","","Sanford","NC","27330-6577","919-774-9622","919-774-3558","Lee","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","23","0","0","0",""
"05422","Deep Run Volunteer Fire Department, Inc.","3582 Old Highway 11","","Deep Run","NC","28525","","","PO Box 71","Deep Run","NC","28525-0071","252-568-4040","252-568-2646","Lenoir","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.drvfd.com/","1","0","34","0","0","0","No"
"02904","Denton Fire Department","101 W Mewsom ST","PO Box 143","Denton","NC","27239","101 W Mewsom ST","","PO Box 143","Denton","NC","27239","336-859-2221","","Davidson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","0","0","0","0",""
"05503","Denver Volunteer Fire Department, Inc.","3956 N NC 16 Business HWY","","Denver","NC","28037","","","PO Box 122","Denver","NC","28037-0122","980-722-8862","888-245-1518","Lincoln","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.denverfd.com/","3","37","12","9","0","13","No"
"07709","Derby Volunteer Fire Department","2179 Derby RD","","Ellerbe","NC","28338","","","PO Box 916","Ellerbe","NC","28338-0916","910-652-2536","","Richmond","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","22","0","0","0",""
"08667","Dobson Fire Department","212 N Crutchfield ST","","Dobson","NC","27017","","","PO Box 351","Dobson","NC","27017-0351","336-356-8812","336-386-4720","Surry","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","0","25","0","0",""
"08511","Double Creek Volunteer Fire Department","2863 NC 268 HWY","","Pinnacle","NC","27043","2863 NC 268 HWY","","","Pinnacle","NC","27043-8465","336-351-5500","336-351-6484","Stokes","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","27","0","0","10","Yes"
"10018","Double Island Volunteer Fire Department","5360 Double Island RD","","Green Mountain","NC","28740","5360 Double Island RD","","","Green Mountain","NC","28740-6128","828-782-1585","828-675-0632","Yancey","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","21","0","0","2","No"
"02504","Dover Volunteer Fire Department","107 N Main ST","PO Box 727","Dover","NC","28526","107 N Main ST","PO Box 727","","Dover","NC","28526","252-527-2583","252-526-9858","Craven","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","24","0","0","6",""
"07910","Draper Volunteer Fire Department","213 Main ST","","Eden","NC","27288","213 Main ST","","","Eden","NC","27288-3915","336-635-2233","","Rockingham","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","1","33","0","0","1","Yes"
"09303","Drewry Volunteer Fire Department, Inc.","125 Firefighter DR","","Manson","NC","27553","125 Firefighter DR","","","Manson","NC","27553-9118","252-456-2614","","Warren","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","30","10","0","0","No"
"01266","Drexel Fire Department","202 Church ST","","Drexel","NC","28619","","","PO Box 188","Drexel","NC","28619-0188","828-437-7421","828-437-7429","Burke","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","29","29","0","2","No"
"01278","Drowning Creek Volunteer Fire Department","1630 Airport Rhodhiss RD","","Hickory","NC","28601","1630 Airport Rhodhiss RD","","","Hickory","NC","28601-7196","828-396-4005","828-396-4031","Burke","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","19","0","0","2","Yes"
"00903","Dublin Volunteer Fire Department","324 3RD ST","","Dublin","NC","28332","","","PO Box 36","Dublin","NC","28332-0036","910-862-2539","910-862-8104","Bladen","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","0","26","0","0","No"
"02814","Duck Fire Department","1259 Duck RD","","Duck","NC","27949","1259 Duck RD","","","Duck","NC","27949-4472","252-261-3929","252-261-5961","Dare","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.duckfire.org/","1","14","11","7","1","0","No"
"04306","Dunn Emergency Services, Inc","101 W Cumberland ST","","Dunn","NC","28334","","","PO Box 203","Dunn","NC","28335-0203","910-892-1211","910-892-7777","Harnett","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://dunnemergency.org/","2","27","0","7","0","0","No"
"07206","Durants Neck Volunteer Fire Department","2087 New Hope RD","","Hertford","NC","27944","2087 New Hope RD","","","Hertford","NC","27944-8847","252-264-2047","","Perquimans","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","25","0","0","0",""
"03203","Durham Fire Department","2008 E Club BLVD","","Durham","NC","27704-3414","2008 E Club BLVD","","","Durham","NC","27704-3414","919-560-4242","919-560-4256","Durham","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://durhamnc.gov/620/Fire-Department","17","338","0","0","10","0","No"
"00103","E.M. Holt Volunteer Fire Department","2172 Bellmont Alamance RD","","Burlington","NC","27215","","","PO Box 175","Alamance","NC","27201-0175","336-226-0617","336-436-0001","Alamance","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","2","0","29","0","0",""
"06362","Eagle Springs Volunteer Fire Department, Inc.","1932 211 NC HWY","","Eagle Springs","NC","27242","","","PO Box 249","Eagle Springs","NC","27242-0249","910-673-5673","910-673-7628","Moore","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","2","0","45","1","0","No"
"09914","East Bend Volunteer Fire Department","200 School ST","","East Bend","NC","27018","","","PO Box 212","East Bend","NC","27018-0212","336-699-8663","336-699-2571","Yadkin","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","eastbendvfd.com","1","0","36","0","0","15","No"
"03611","East Gaston Volunteer Fire Department","108 Arrowchem WAY","","Mount Holly","NC","28120","","","PO Box 288","Mount Holly","NC","28120-0288","704-827-8861","","Gaston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.eastgastonvfd.com/","1","0","1","40","0","1","No"
"07805","East Howellsville Fire Department","1000 Pridgen RD","","Lumberton","NC","28358","","","PO Box 2868","Lumberton","NC","28359-2868","910-738-6135","910-738-6135","Robeson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ehfd7.org","1","0","23","0","0","0",""
"05504","East Lincoln Fire Department","406 S Pilot Knob RD","","Stanley","NC","28164","406 S Pilot Knob RD","","","Stanley","NC","28164-8739","704-822-5999","704-822-9830","Lincoln","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://eastlincolnfd.com/","3","49","4","0","0","4","No"
"09802","East Nash Fire Department","4117 US 264 ALT HWY E","","Wilson","NC","27893","","","PO Box 2208","Wilson","NC","27894-2208","252-237-4202","","Wilson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","23","6","0","0","Yes"
"07603","East Side Fire Department","614 Daniel RD","PO Box 1511","Asheboro","NC","27205","614 Daniel RD","","PO Box 1511","Asheboro","NC","27205","336-625-5294","","Randolph","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","0","31","0","0",""
"08407","East Side Volunteer Fire Department, Inc.","805 Laton  RD","","Albemarle","NC","28001","805 Laton  RD","","PO Box ","Albemarle","NC","28001","704-982-4615","704-982-3698","Stanly","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.fire-ems.net/firedept/view/albemarlenc","2","0","35","0","0","15",""
"08047","East Spencer Fire Department Station 47","201 N Long ST","","East Spencer","NC","28039","","","PO Box 339","East Spencer","NC","28039-0339","704-633-0055","704-637-0599","Rowan","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://townofeastspencer.org/fire-dept.html","2","12","0","24","0","2","Yes"
"08702","Eastern Band of Cherokee Indians, Tribal Gov.","837 Acquon RD","2307 Old Mission Road","Cherokee","NC","28719","837 Acquon RD","2307 Old Mission Road","PO Box 455","Cherokee","NC","28719","828-497-6584","828-497-5147","Swain","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","18","19","0","0","6",""
"07434","Eastern Pines Fire Rescue","5453 Eastern Pines RD","","Greenville","NC","27858","5453 Eastern Pines RD","","","Greenville","NC","27858-9574","252-752-3005","252-830-2981","Pitt","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://fire.easternpines.org/","1","0","50","0","0","0","No"
"09211","Eastern Wake Fire-Rescue Department, Inc.","4828 Clifton RD","","Knightdale","NC","27545","4828 Clifton RD","","","Knightdale","NC","27545-9136","919-217-0054","919-217-0096","Wake","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","19","24","24","1","8","No"
"02605","Eastover Volunteer Fire Department","3405 Dunn RD","","Eastover","NC","28312","3405 Dunn RD","","","Eastover","NC","28312-8899","910-483-3770","910-483-5870","Cumberland","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","3","52","1","0","7","No"
"06352","Eastwood Volunteer Fire Department","980 NC Highway 73","","West End","NC","27376","980 NC Highway 73","","","West End","NC","27376-9109","910-295-3322","","Moore","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","2","6","22","0","0","No"
"05807","Ebbs Chapel Fire Department","680 Puncheon Fork RD","","Mars Hill","NC","28754","680 Puncheon Fork RD","","","Mars Hill","NC","28754-9355","828-689-9812","828-689-9812","Madison","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ebbschapelfire.com/","2","1","21","0","0","8","No"
"04915","Ebenezer Fire Department","1002 Turnersburg HWY","","Statesville","NC","28625","1002 Turnersburg HWY","","","Statesville","NC","28625-2584","704-876-3756","704-876-6803","Iredell","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","40","0","0","15",""
"07902","Eden Fire Department","308 E Stadium DR","","Eden","NC","27288","308 E Stadium DR","","","Eden","NC","27288-3523","336-623-2110","336-623-4041","Rockingham","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ci.eden.nc.us/","4","16","0","52","0","0","Yes"
"02102","Edenton Fire Department","704 N Broad ST","","Edenton","NC","27932","704 N Broad ST","","","Edenton","NC","27932-1405","252-482-3115","252-482-5915","Chowan","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.townofedenton.com/index.asp?SEC=18E795B7-856E-4CFD-9B0E-30BD2D173A4D&Type=B_DIR","1","10","0","26","0","0","No"
"04504","Edneyville Fire & Rescue","1 Firehouse RD","","Hendersonville","NC","28792","1 Firehouse RD","","","Edneyville","NC","28792-8373","828-685-7311","828-685-0507","Henderson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.edneyvillefire.com/","3","0","52","0","0","3","Yes"
"06803","Efland Volunteer Fire Department","3900 US Highway 70 W","","Efland","NC","27243-9402","","","PO Box 39","Efland","NC","27243-0039","919-732-8941","","Orange","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","3","0","40","0","0","5","No"
"10015","Egypt-Ramseytown Volunteer Fire Department","8635 HWY 19-W","","Burnsville","NC","28714","5533 Bald MTN RD","","","Burnsville","NC","28714","828-682-3047","","Yancey","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","30","0","0","0",""
"09606","El-Roy Volunteer Firefighters, Inc.","4720 US Highway 70 E","","Goldsboro","NC","27534","","","PO Box 10793","Goldsboro","NC","27532-0793","919-778-7211","919-778-0700","Wayne","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","33","0","0","7","No"
"05111","Elevation Fire Department","1825 Federal RD","","Benson","NC","27504-1825","1825 Federal RD","","","Benson","NC","27504-1825","919-894-1410","919-207-2640","Johnston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","25","0","0","0",""
"00104","Eli Whitney Volunteer Fire Department","7618 S NC Highway 87","","Graham","NC","27253","7618 S NC Highway 87","","","Graham","NC","27253-9875","336-376-9078","336-376-0303","Alamance","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","40","1","0","0","0",""
"07001","Elizabeth City Fire Department","305 E Main ST","","Elizabeth City","NC","27909","305 E Main ST","","","Elizabeth City","NC","27909-4425","252-338-3913","252-338-3912","Pasquotank","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ecncfd.com/","2","45","0","0","1","0","No"
"00904","Elizabethtown Fire Department","401 W Swanzy ST","PO Box 716","Elizabethtown","NC","28337","401 W Swanzy ST","","PO Box 716","Elizabethtown","NC","28337","910-862-4586","910-862-3289","Bladen","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","2","30","0","0","4",""
"00607","Elk Park Volunteer Fire Department","7771 N US Highway 19E","","Elk Park","NC","28622-9494","","","PO Box 338","Elk Park","NC","28622-0338","828-733-0516","828-733-1132","Avery","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","33","0","0","0",""
"08616","Elkin Fire Department","304 N Front ST","","Elkin","NC","28621-3338","304 N Front ST","","","Elkin","NC","28621-3338","336-794-6481","","Surry","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://elkinfire.com/","1","3","0","19","0","0","No"
"08104","Ellenboro Fire Department","175 Depot ST","","Ellenboro","NC","28040","","","PO Box 188","Ellenboro","NC","28040-0188","828-453-8141","828-453-8635","Rutherford","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","1","40","0","0","0","Yes"
"00202","Ellendale Community Volunteer Fire Department","30 Ellendale Fire Department RD","","Taylorsville","NC","28681","","","PO Box 1261","Taylorsville","NC","28681-1261","828-632-2611","828-632-2611","Alexander","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","27","0","0","0","Yes"
"08048","Ellis Cross Country Fire Department","3420 Old Mocksville RD","","Salisbury","NC","28144","3420 Old Mocksville RD","","","Salisbury","NC","28144-8807","704-638-0866","704-638-0866","Rowan","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","23","0","0","0","No"
"00105","Elon Fire-Rescue","219 S Williamson AVE","","Elon","NC","27244","","","PO Box 595","Elon","NC","27244-0595","336-584-9190","336-584-5574","Alamance","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.townofelon.com/town-government/departments/fire/","2","20","0","32","0","0","Yes"
"01645","Emerald Isle Fire Department","7500 Emerald DR","","Emerald Isle","NC","28594","7500 Emerald DR","","","Emerald Isle","NC","28594-2917","252-354-2445","252-354-4081","Carteret","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.emeraldisle-nc.org/388/Fire-EMS-departments-to-unify","2","27","5","15","0","0","Yes"
"04203","Enfield Fire Department","12719 HWY 481","","Enfield","NC","27823","12719 HWY 481","","PO Box 815","Enfield","NC","27823","252-445-4161","252-445-2165","Halifax","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","35","0","0","0",""
"04801","Engelhard Volunteer Fire Department, Inc.","34545 US 264 HWY","","Engelhard","NC","27824","","","PO Box 296","Engelhard","NC","27824-0296","252-925-7231","252-925-4628","Hyde","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","26","0","0","2","No"
"01106","Enka-Candler Fire and Rescue, Inc.","85 Pisgah HWY","","Candler","NC","28715","","","PO Box 340","Candler","NC","28715-0340","828-667-0798","828-667-8886","Buncombe","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.enkefire.org","2","28","12","14","2","0",""
"06804","Eno Fire and Emergency Services, Inc","5019 US Highway 70 W","","Durham","NC","27705","5019 US Highway 70 W","","","Durham","NC","27705-9029","919-383-5967","919-309-9905","Durham","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","0","35","0","2","No"
"08049","Enochville Fire & Rescue Department, Inc.","808 N Enochville AVE","","China Grove","NC","28023","808 N Enochville AVE","","","China Grove","NC","28023","704-938-2890","704-938-1263","Rowan","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","28","0","0","0",""
"01259","Enola Volunteer Fire Department","2559 Enola RD","","Morganton","NC","28655","2559 Enola RD","","","Morganton","NC","28655-7357","828-438-9002","828-438-9002","Burke","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","24","0","0","0","Yes"
"04307","Erwin Fire Department & Rescue Squad, Inc.","200 S Thirteenth ST","","Erwin","NC","28339","","","PO Box 36","Erwin","NC","28339-0036","910-897-8151","","Harnett","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","3","50","0","0","0",""
"04505","Etowah Horse Shoe Volunteer Fire and Rescue","15 Morgan RD","","Hendersonville","NC","28739","15 Morgan RD","","","Hendersonville","NC","28739-9712","828-891-3102","828-891-5834","Henderson","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.etowahhorseshoefire.com","4","4","45","0","1","13","No"
"03704","Eure Volunteer Fire Department, Inc.","1210 NC 137","","Eure","NC","27935","","","PO Box 51","Eure","NC","27935-0051","252-357-0292","","Gates","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","27","0","0","0","No"
"07806","Evans Crossroads Volunteer Fire Department","3440 Elrod RD","","Maxton","NC","28364","3440 Elrod RD","","","Maxton","NC","28364","910-521-2050","910-521-2300","Robeson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","28","0","0","0","Yes"
"02905","Fair Grove Fire Department Station 43","211 Cedar Lodge RD","","Thomasville","NC","27360","211 Cedar Lodge RD","","","Thomasville","NC","27360-6140","336-472-7711","336-472-4648","Davidson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.fairgrovefire.net/","2","0","64","0","0","8","No"
